id,question
1,"Gilead_Sciences"
2,"Google"
3,"Apple_Inc."
4,"Microsoft"
5,"ICICI_Bank"
6,"Allstate"
7,"TIAA"
8,"INTL_FCStone"
9,"CHS"
10,"American_Express"
11,"SpaceX"
12,"Telsa_Motors"
13,"Walmart"
14,"Toyota"
15,"Amazon"
16,"HP"
17,"Verizon"
18,"Costco"
19,"AT&T"
20,"General_Motors"
21,"Samsung"
22,"Volkswagen"
23,"General_Electric"
24,"Ford_Motor"
25,"Walgreens"
26,"Linkedin"
27,"Snapchat"
28,"JPMorgan_Chase"
29,""
30,"Alphabet"
31,""
32,"ExxonMobil"
33,"Northwestern_Mutual"
34,"Berkshire_Hathaway"
35,"McKesson"
36,"UnitedHealth_Group"
37,"CVS_Health"
38,"World_Fuel_Services"
39,"3M"
40,"Mondelez_International"
41,"Exelon"
42,"AmerisourceBergen"
43,"Nike"
44,"Chevron"
45,"ConocoPhillips"
46,"Fannie_Mae"
47,"Kroger"
48,"Deere"
49,"General_Dynamics"
50,"21st_Century_Fox"
51,"Cardinal_Health"
52,"Express_Scripts_Holding"
53,"Publix_Super_Markets"
54,"Boeing"
55,"Time_Warner"
56,"Bank_of_America_Corp."
57,"Wells_Fargo"
58,"Home_Depot"
59,"Citigroup"
60,"Phillips_66"
61,"IBM"
62,"Valero_Energy"
63,"Anthem"
64,"Procter_and_Gamble"
65,"State_Farm_Insurance"
66,"TJX"
67,"Comcast"
68,"Target"
69,"Johnson_&_Johnson"
70,"MetLife"
71,"Archer_Daniels_Midland"
72,"Marathon_Petroleum"
73,"Freddie_Mac"
74,"PepsiCo"
75,"United_Technologies"
76,"Aetna"
77,"Lowes"
78,"UPS"
79,"AIG"
80,"Prudential_Financial"
81,"Intel"
82,"Humana"
83,"Disney"
84,"Cisco_Systems"
85,"Pfizer"
86,"Dow_Chemical"
87,"Sysco"
88,"FedEx"
89,"Caterpillar"
90,"Lockheed_Martin"
91,"New_York_Life_Insurance_Company"
92,"Coca-Cola"
93,"HCA_Holdings"
94,"Ingram_Micro"
95,"Energy_Transfer_Equity"
96,"Tyson_Foods"
97,"American_Airlines_Group"
98,"Delta_Air_Lines"
99,"Nationwide"
100,"Johnson_Controls"
101,"Best_Buy"
102,"Merck"
103,"Liberty_Mutual_Insurance_Group"
104,"Goldman_Sachs_Group"
105,"Honeywell_International"
106,"Massachusetts_Mutual_Life_Insurance"
107,"Oracle"
108,"Morgan_Stanley"
109,"Cigna"
110,"Walmart"
111,"Exxon_Mobil"
112,"Apple"
115,"UnitedHealth_Group"
116,"CVS_Health"
117,"General_Motors"
118,"Ford_Motor"
119,"AT&T"
120,"Verizon"
121,"Chevron"
122,"Costco"
123,"J.P._Morgan_Chase"
124,"Boeing"
125,"Microsoft"
126,"Bank_of_America_Corp."
127,"Wells_Fargo"
128,"Home_Depot"
129,"Citigroup"
130,"Phillips_66"
131,"IBM"
132,"Comcast"
133,"Target"
134,"Johnson_&_Johnson"
135,"MetLife"
