1,Who is the CEO of Gilead Sciences?
2,Who is the CEO of Google?
3,Who is the CEO of Microsoft?
4,Who is the CEO of SpaceX?
5,Who is the CEO of Walmart?
6,Who is the CEO of Toyota?
7,Who is the CEO of Costco?
8,Who is the CEO of General Motors?
9,Who is the CEO of Samsung?
10,Who is the CEO of Walgreens?
11,Who is the CEO of ConocoPhillips?
12,Who is the CEO of Kroger?
13,Who is the CEO of General Dynamics?
14,Who is the CEO of Boeing?
15,Who is the CEO of Citigroup?
16,Who is the CEO of IBM?
17,Who is the CEO of Comcast?
18,Who is the CEO of MetLife?
19,Who is the CEO of PepsiCo?
20,Who is the CEO of Aetna?
21,Who is the CEO of Intel?
22,Who is the CEO of Cisco Systems?
23,Who is the CEO of Pfizer?
24,Who is the CEO of Coca-Cola?
25,Who is the CEO of HCA Holdings?
26,Who is the CEO of Ingram Micro?
27,Who is the CEO of Energy Transfer Equity?
28,Who is the CEO of Tyson Foods?
29,Who is the CEO of American Airlines Group?
30,Who is the CEO of Johnson Controls?
31,Who is the CEO of Merck?
32,Who is the CEO of Liberty Mutual Insurance Group?
33,Who is the CEO of Goldman Sachs Group?
34,Who is the CEO of Honeywell International?
35,Who is the CEO of Massachusetts Mutual Life Insurance?
36,Who is the CEO of Morgan Stanley?
37,Who is the CEO of Cigna?
38,Who is the founder of Walmart?
39,Who is the founder of General Motors?
40,Who is the founder of Costco?
41,Who is the founder of Microsoft?
42,Who is the founder of IBM?
43,Who is the founder of Comcast?
44,Where is the headquarter of Walmart?
45,Where is the headquarter of Microsoft?
46,Where is the headquarter of IBM?
47,Where is the headquarter of Intel?
48,Where is the headquarter of Humana?
49,Where is the headquarter of Disney?
50,Where is the headquarter of Cisco Systems?
51,Where is the headquarter of Pfizer?
52,Where is the headquarter of Dow Chemical?
53,Where is the headquarter of Sysco?
54,Where is the headquarter of Johnson Controls?
55,Where is the headquarter of Merck?
56,Where is the headquarter of United Continental Holdings?
57,Where is the headquarter of Allstate?
58,Where is the headquarter of Nike?
59,Who is the CEO of Airbnb?
60,Who is the CEO of Nokia?
